mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
7	7	1/4	1/4	2/4	1	1	1/4	1/4	1.0		1	79		25
7	7	3/8	3/8	2/4	1	2	1/8	1/8	1.0		-5	73		29
8	8	0	0	2/4	2	1	1/2	1/2	1.0		-4	56		34
8	8	0	0	2/4	2	1	1/2	1/2	1.0		-3	63		34
8	8	0	0	2/4	1	2	1/2	1/2	1.0		0	72		33
8	8	0	0	2/4	1	1	1/2	1/2	1.0		-4	80		32
9	9	0	0	2/4	2	1	1/4	1/4	1.0		-1	53		37
9	9	0	0	2/4	2	1	1/4	1/4	1.0		-1	65		37
9	9	0	0	2/4	1	1	1/4	1/4	1.0		3	69		35
9	9	0	0	2/4	1	1	1/4	1/4	1.0		0	72		35
9	9	0	0	2/4	1	1	1/4	1/4	1.0		-1	77		35
9	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		38
9	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		38
9	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	69		36
9	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	72		36
9	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-1	77		36
10	10	0	0	2/4	2	1	1/4	1/4	1.0		-5	49		41
10	10	0	0	2/4	2	1	1/4	1/4	1.0		-5	61		41
10	10	0	0	2/4	1	1	1/4	1/4	1.0		-2	70		39
10	10	0	0	2/4	1	1	1/4	1/4	1.0		-5	73		39
10	10	0	0	2/4	1	1	1/4	1/4	1.0		-1	77		39
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	46		42
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	58		42
10	10	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-2	70		40
10	10	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-5	73		40
10	10	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-1	77		40
11	11	0	0	2/4	2	1	1/4	1/4	1.0		-4	44		45
11	11	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		45
11	11	0	0	2/4	1	1	1/4	1/4	1.0		0	72		43
11	11	0	0	2/4	1	1	1/4	1/4	1.0		-3	75		43
11	11	0	0	2/4	1	1	1/4	1/4	1.0		-4	80		43
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-6	42		46
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-6	54		46
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	72		44
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-3	75		44
11	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-4	80		44
12	12	0	0	2/4	2	1	1/4	1/4	1.0		-1	41		48
12	12	0	0	2/4	2	1	1/4	1/4	1.0		-1	53		48
12	12	0	0	2/4	1	1	1/2	1/2	1.0		-5	73		47
12	12	0	0	2/4	1	1	1/2	1/2	1.0		-1	77		47
12	12	0	0	2/4	1	1	1/2	1/2	1.0		-4	80		47
12	12	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	37		49
12	12	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	49		49
13	13	0	0	2/4	2	1	1/4	1/4	1.0		0	36		52
13	13	0	0	2/4	2	1	1/4	1/4	1.0		0	48		52
13	13	0	0	2/4	1	1	1/4	1/4	1.0		4	76		50
13	13	0	0	2/4	1	1	1/4	1/4	1.0		1	79		50
13	13	0	0	2/4	1	1	1/4	1/4	1.0		0	84		50
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	34		53
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	46		53
13	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		4	76		51
13	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		1	79		51
13	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	84		51
14	14	0	0	2/4	2	1	1/4	1/4	1.0		-4	32		56
14	14	0	0	2/4	2	1	1/4	1/4	1.0		-4	44		56
14	14	0	0	2/4	1	1	1/4	1/4	1.0		-1	77		54
14	14	0	0	2/4	1	1	1/4	1/4	1.0		-4	80		54
14	14	0	0	2/4	1	1	1/4	1/4	1.0		0	84		54
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-1	29		57
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-1	41		57
14	14	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-1	77		55
14	14	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-4	80		55
14	14	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	84		55
15	15	0	0	2/4	2	1	1/4	1/4	1.0		-3	27		64
15	15	0	0	2/4	2	1	1/4	1/4	1.0		-3	39		64
15	15	0	0	2/4	1	2	1/4	1/4	1.0		1	79		62
15	15	0	0	2/4	1	1	1/8	1/8	1.0		-3	87		58
15	15	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-5	85		59
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	39		65
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		65
15	15	1/4	1/4	2/4	1	2	1/4	1/4	1.0		-5	73		63
15	15	1/4	1/4	2/4	1	2	1/4	1/4	1.0		1	79		63
15	15	1/4	1/4	2/4	1	1	1/8	1/8	1.0		0	84		60
15	15	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-2	82		61
16	16	0	0	2/4	2	1	1/4	1/4	1.0		-4	44		67
16	16	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		67
16	16	0	0	2/4	1	1	1/4	1/4	1.0		0	72		66
16	16	0	0	2/4	1	1	1/4	1/4	1.0		-4	80		66
