mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		2
1	1	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		2
1	1	0	0	2/4	1	1	1/4	1/4	1.0		0	72		0
1	1	0	0	2/4	1	1	1/4	1/4	1.0		-3	75		0
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		3
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	72		1
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-3	75		1
2	2	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		6
2	2	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		6
2	2	0	0	2/4	1	1	1/4	1/4	1.0		0	72		4
2	2	0	0	2/4	1	1	1/4	1/4	1.0		-4	80		4
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		7
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		7
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	72		5
2	2	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-4	80		5
3	3	0	0	2/4	2	1	1/4	1/4	1.0		1	55		11
3	3	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		11
3	3	0	0	2/4	1	1	1/4	1/4	1.0		-5	73		8
3	3	0	0	2/4	1	1	1/4	1/4	1.0		-2	82		8
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		12
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		12
3	3	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-3	75		9
3	3	1/4	1/4	2/4	1	1	1/8	1/8	1.0		0	84		9
3	3	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-5	73		10
3	3	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-2	82		10
4	4	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		14
4	4	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		14
4	4	0	0	2/4	1	1	1/2	1/2	1.0		0	72		13
4	4	0	0	2/4	1	1	1/2	1/2	1.0		-4	80		13
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		15
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		15
5	5	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		18
5	5	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		18
5	5	0	0	2/4	1	1	1/4	1/4	1.0		0	72		16
5	5	0	0	2/4	1	1	1/4	1/4	1.0		-3	75		16
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		19
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		19
5	5	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	72		17
5	5	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-3	75		17
6	6	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		22
6	6	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		22
6	6	0	0	2/4	1	1	1/4	1/4	1.0		0	84		20
6	6	0	0	2/4	1	1	1/4	1/4	1.0		-3	87		20
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		23
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		23
6	6	1/4	1/4	2/4	1	1	1/4	1/4	1.0		0	84		21
6	6	1/4	1/4	2/4	1	1	1/4	1/4	1.0		-3	87		21
7	7	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		30
7	7	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		30
7	7	0	0	2/4	1	2	1/8	1/8	1.0		-2	82		26
7	7	0	0	2/4	1	1	1/4	1/4	1.0		-5	85		24
7	7	1/8	1/8	2/4	1	2	1/8	1/8	1.0		1	79		27
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		31
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		31
7	7	1/4	1/4	2/4	1	2	1/8	1/8	1.0		-3	75		28
