mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		4
1	1	0	0	2/4	1	1	1/8	1/8	1.0		0	72		0
1	1	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		1
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		5
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		5
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		5
1	1	1/4	1/4	2/4	1	1	1/8	1/8	1.0		0	84		2
1	1	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		3
2	2	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		10
2	2	0	0	2/4	1	1	1/8	1/8	1.0		-5	73		6
2	2	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		7
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		11
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		11
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		11
2	2	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-5	85		8
2	2	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		9
3	3	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		16
3	3	0	0	2/4	1	1	1/8	1/8	1.0		0	72		12
3	3	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		13
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		17
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		17
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		17
3	3	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-1	89		14
3	3	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	87		15
4	4	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		22
4	4	0	0	2/4	1	1	1/8	1/8	1.0		-3	87		18
4	4	1/8	1/8	2/4	1	1	1/8	1/8	1.0		2	86		19
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		23
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		23
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		23
4	4	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-5	85		20
4	4	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-2	82		21
5	5	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		28
5	5	0	0	2/4	1	1	1/8	1/8	1.0		0	72		24
5	5	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		25
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		29
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		29
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		29
5	5	1/4	1/4	2/4	1	1	1/8	1/8	1.0		0	84		26
5	5	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		27
6	6	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		34
6	6	0	0	2/4	1	1	1/8	1/8	1.0		-5	73		30
6	6	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		31
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		35
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		35
6	6	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		35
6	6	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-5	85		32
6	6	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		33
7	7	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		40
7	7	0	0	2/4	2	1	1/4	1/4	1.0		0	60		40
7	7	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		40
7	7	0	0	2/4	2	1	1/4	1/4	1.0		-4	68		40
7	7	0	0	2/4	1	1	1/8	1/8	1.0		0	72		36
7	7	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	87		37
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	51		41
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-2	58		41
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		41
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		41
7	7	1/4	1/4	2/4	1	1	1/8	1/8	1.0		1	79		38
7	7	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	87		39
8	8	0	0	2/4	2	1	1/2	1/2	1.0		-4	56		43
8	8	0	0	2/4	2	1	1/2	1/2	1.0		0	60		43
8	8	0	0	2/4	2	1	1/2	1/2	1.0		-3	63		43
8	8	0	0	2/4	1	1	1/2	1/2	1.0		-4	80		42
9	9	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		48
9	9	0	0	2/4	1	1	1/8	1/8	1.0		0	72		44
9	9	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		45
9	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		49
9	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		49
9	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		49
9	9	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-2	82		46
9	9	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-4	80		47
10	10	0	0	2/4	2	1	1/4	1/4	1.0		-5	49		54
10	10	0	0	2/4	1	1	1/8	1/8	1.0		1	79		50
10	10	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-1	77		51
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		55
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-1	65		55
10	10	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		55
10	10	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-1	89		52
10	10	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-5	85		53
11	11	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		60
11	11	0	0	2/4	1	1	1/8	1/8	1.0		-2	82		56
11	11	1/8	1/8	2/4	1	1	1/8	1/8	1.0		1	79		57
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		61
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		61
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		61
11	11	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74		58
11	11	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		59
12	12	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		64
12	12	0	0	2/4	1	1	1/4	1/4	1.0		0	84		62
12	12	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		65
12	12	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		65
12	12	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		65
12	12	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-4	80		63
13	13	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		70
13	13	0	0	2/4	1	1	1/8	1/8	1.0		0	72		66
13	13	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-3	75		67
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		0	60		71
