mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		71
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		71
13	13	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-2	82		68
13	13	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-4	80		69
14	14	0	0	2/4	2	1	1/4	1/4	1.0		-5	49		76
14	14	0	0	2/4	1	1	1/8	1/8	1.0		1	79		72
14	14	1/8	1/8	2/4	1	1	1/8	1/8	1.0		-1	77		73
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		77
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-1	65		77
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-4	68		77
14	14	1/4	1/4	2/4	1	1	1/8	1/8	1.0		-1	89		74
14	14	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-5	85		75
15	15	0	0	2/4	2	1	1/4	1/4	1.0		-3	51		82
15	15	0	0	2/4	1	1	1/8	1/8	1.0		-2	82		78
15	15	1/8	1/8	2/4	1	1	1/8	1/8	1.0		1	79		79
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-5	61		83
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		-3	63		83
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		1	67		83
15	15	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74		80
15	15	3/8	3/8	2/4	1	1	1/8	1/8	1.0		-3	75		81
16	16	0	0	2/4	2	1	1/4	1/4	1.0		-4	56		85
16	16	0	0	2/4	2	1	1/4	1/4	1.0		0	60		85
16	16	0	0	2/4	2	1	1/4	1/4	1.0		-3	63		85
16	16	0	0	2/4	2	1	1/4	1/4	1.0		-4	68		85
16	16	0	0	2/4	1	1	1/4	1/4	1.0		-4	80		84
