mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
4	4	0	0	2/4	2	1	1/2		1/2	1.0		5	59		17
4	4	0	0	2/4	2	1	1/2		1/2	1.0		2	62		17
4	4	0	0	2/4	1	1	1/2		1/2	1.0		5	71		16
4	4	0	0	2/4	1	1	1/2		1/2	1.0		2	74		16
5	5	0	0	2/4	2	1	1/2		1/2	1.0		2	50		22
5	5	0	0	2/4	2	1	1/2		1/2	1.0		6	54		22
5	5	0	0	2/4	2	1	1/2		1/2	1.0		3	57		22
5	5	0	0	2/4	2	1	1/2		1/2	1.0		0	60		22
5	5	0	0	2/4	1	1	1/8		1/8	1.0		7	73		18
5	5	1/8	1/8	2/4	1	1	1/8		1/8	1.0		2	74		19
5	5	1/4	1/4	2/4	1	1	1/8		1/8	1.0		4	76		20
5	5	3/8	3/8	2/4	1	1	1/8		1/8	1.0		6	78		21
6	6	0	0	2/4	2	1	1/2		1/2	1.0		2	50		27
6	6	0	0	2/4	2	1	1/2		1/2	1.0		1	55		27
6	6	0	0	2/4	2	1	1/2		1/2	1.0		5	59		27
6	6	0	0	2/4	1	1	1/8		1/8	1.0		1	79		23
6	6	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	81		24
6	6	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	83		25
6	6	3/8	3/8	2/4	1	1	1/8		1/8	1.0		0	84		26
7	7	0	0	2/4	2	1	1/4		1/4	1.0		2	50		32
7	7	0	0	2/4	2	1	1/4		1/4	1.0		6	54		32
7	7	0	0	2/4	2	1	1/4		1/4	1.0		3	57		32
7	7	0	0	2/4	2	1	1/4		1/4	1.0		0	60		32
7	7	0	0	2/4	1	1	1/8		1/8	1.0		2	86		28
7	7	1/8	1/8	2/4	1	1	1/8		1/8	1.0		2	74		29
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		2	50		33
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		6	54		33
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		33
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		33
7	7	1/4	1/4	2/4	1	1	1/8		1/8	1.0		2	86		30
7	7	3/8	3/8	2/4	1	1	1/8		1/8	1.0		2	74		31
8	8	0	0	2/4	2	1	1/4		1/4	1.0		1	55		35
8	8	0	0	2/4	2	1	1/4		1/4	1.0		5	59		35
8	8	0	0	2/4	1	1	1/4		1/4	1.0		1	79		34
9	9	0	0	2/4	2	1	1/4		1/4	1.0		5	59		40
9	9	0	0	2/4	2	1	1/4		1/4	1.0		9	63		40
9	9	0	0	2/4	2	1	1/4		1/4	1.0		6	66		40
9	9	0	0	2/4	2	1	1/4		1/4	1.0		3	69		40
9	9	0	0	2/4	1	1	1/8		1/8	1.0		5	83		36
9	9	1/8	1/8	2/4	1	1	1/8		1/8	1.0		5	71		37
9	9	1/4	1/4	2/4	2	1	1/4		1/4	1.0		5	59		41
9	9	1/4	1/4	2/4	2	1	1/4		1/4	1.0		9	63		41
9	9	1/4	1/4	2/4	2	1	1/4		1/4	1.0		6	66		41
9	9	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	69		41
9	9	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	83		38
9	9	3/8	3/8	2/4	1	1	1/8		1/8	1.0		5	71		39
10	10	0	0	2/4	2	1	1/2		1/2	1.0		4	64		46
10	10	0	0	2/4	2	1	1/2		1/2	1.0		1	67		46
10	10	0	0	2/4	1	1	1/8		1/8	1.0		1	79		42
10	10	1/8	1/8	2/4	1	1	1/8		1/8	1.0		5	71		43
10	10	1/4	1/4	2/4	1	1	1/8		1/8	1.0		4	76		44
10	10	3/8	3/8	2/4	1	1	1/8		1/8	1.0		5	71		45
11	11	0	0	2/4	2	1	1/4		1/4	1.0		3	57		51
11	11	0	0	2/4	2	1	1/4		1/4	1.0		7	61		51
11	11	0	0	2/4	2	1	1/4		1/4	1.0		4	64		51
11	11	0	0	2/4	2	1	1/4		1/4	1.0		1	67		51
11	11	0	0	2/4	1	1	1/8		1/8	1.0		3	81		47
11	11	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	69		48
11	11	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		52
11	11	1/4	1/4	2/4	2	1	1/4		1/4	1.0		7	61		52
11	11	1/4	1/4	2/4	2	1	1/4		1/4	1.0		4	64		52
11	11	1/4	1/4	2/4	2	1	1/4		1/4	1.0		1	67		52
11	11	1/4	1/4	2/4	1	1	1/8		1/8	1.0		3	81		49
11	11	3/8	3/8	2/4	1	1	1/8		1/8	1.0		3	69		50
12	12	0	0	2/4	2	1	1/2		1/2	1.0		2	62		57
12	12	0	0	2/4	2	1	1/2		1/2	1.0		6	66		57
12	12	0	0	2/4	1	1	1/8		1/8	1.0		6	78		53
12	12	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	69		54
12	12	1/4	1/4	2/4	1	1	1/8		1/8	1.0		2	74		55
12	12	3/8	3/8	2/4	1	1	1/8		1/8	1.0		3	69		56
13	13	0	0	2/4	2	1	1/2		1/2	1.0		2	50		62
13	13	0	0	2/4	2	1	1/2		1/2	1.0		6	54		62
13	13	0	0	2/4	2	1	1/2		1/2	1.0		3	57		62
13	13	0	0	2/4	2	1	1/2		1/2	1.0		0	60		62
13	13	0	0	2/4	1	1	1/8		1/8	1.0		7	73		58
13	13	1/8	1/8	2/4	1	1	1/8		1/8	1.0		2	74		59
13	13	1/4	1/4	2/4	1	1	1/8		1/8	1.0		4	76		60
13	13	3/8	3/8	2/4	1	1	1/8		1/8	1.0		6	78		61
14	14	0	0	2/4	2	1	1/2		1/2	1.0		2	50		67
14	14	0	0	2/4	2	1	1/2		1/2	1.0		1	55		67
14	14	0	0	2/4	2	1	1/2		1/2	1.0		5	59		67
14	14	0	0	2/4	1	1	1/8		1/8	1.0		1	79		63
14	14	1/8	1/8	2/4	1	1	1/8		1/8	1.0		3	81		64
14	14	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	83		65
14	14	3/8	3/8	2/4	1	1	1/8		1/8	1.0		0	84		66
15	15	0	0	2/4	2	1	1/4		1/4	1.0		2	50		72
15	15	0	0	2/4	2	1	1/4		1/4	1.0		6	54		72
15	15	0	0	2/4	2	1	1/4		1/4	1.0		3	57		72
15	15	0	0	2/4	2	1	1/4		1/4	1.0		0	60		72
15	15	0	0	2/4	1	1	1/8		1/8	1.0		2	86		68
15	15	1/8	1/8	2/4	1	1	1/8		1/8	1.0		2	74		69
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		2	50		73
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		6	54		73
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		3	57		73
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		73
15	15	1/4	1/4	2/4	1	1	1/8		1/8	1.0		2	86		70
15	15	3/8	3/8	2/4	1	1	1/8		1/8	1.0		2	74		71
16	16	0	0	2/4	2	1	1/4		1/4	1.0		1	55		75
16	16	0	0	2/4	2	1	1/4		1/4	1.0		5	59		75
16	16	0	0	2/4	1	1	1/4		1/4	1.0		1	79		74
