mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/2		1/2	1.0		1	55		5
1	1	0	0	2/4	2	1	1/2		1/2	1.0		5	59		5
1	1	0	0	2/4	2	1	1/2		1/2	1.0		2	62		5
1	1	0	0	2/4	1	1	1/4		1/4	1.0		5	83		0
1	1	1/4	1/4	2/4	1	1	0	appoggiatura	1/16	1.0		0	84		1
1	1	1/4	1/4	2/4	1	1	0	appoggiatura	1/16	1.0		5	83		2
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1.0		3	81		3
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0		1	79		4
2	2	0	0	2/4	2	1	1/2		1/2	1.0		1	55		11
2	2	0	0	2/4	2	1	1/2		1/2	1.0		0	60		11
2	2	0	0	2/4	2	1	1/2		1/2	1.0		4	64		11
2	2	0	0	2/4	1	1	1/4		1/4	1.0		1	79		6
2	2	1/4	1/4	2/4	1	1	0	appoggiatura	1/16	1.0		3	81		7
2	2	1/4	1/4	2/4	1	1	0	appoggiatura	1/16	1.0		1	79		8
2	2	1/4	1/4	2/4	1	1	1/8		1/8	1.0		6	78		9
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1.0		4	76		10
3	3	0	0	2/4	2	1	1/4		1/4	1.0		1	55		14
3	3	0	0	2/4	2	1	1/4		1/4	1.0		5	59		14
3	3	0	0	2/4	2	1	1/4		1/4	1.0		2	62		14
3	3	0	0	2/4	1	1	1/4		1/4	1.0		5	71		12
3	3	0	0	2/4	1	1	1/4		1/4	1.0		2	74		12
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		1	55		15
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		5	59		15
3	3	1/4	1/4	2/4	1	1	1/4		1/4	1.0		1	67		13
3	3	1/4	1/4	2/4	1	1	1/4		1/4	1.0		5	71		13
4	4	0	0	2/4	2	1	1/2		1/2	1.0		1	55		17
