mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
4	4	1/8	1/8	2/4	1	1	1/16		1/16	1.0		5	83		36
4	4	1/4	1/4	2/4	2	1	1/16		1/16	1.0		5	47		43
4	4	1/4	1/4	2/4	1	1	1/16		1/16	1.0		9	75		37
4	4	1/4	1/4	2/4	1	1	1/16		1/16	1.0		6	78		37
4	4	1/4	1/4	2/4	1	1	1/16		1/16	1.0		5	83		37
4	4	5/16	5/16	2/4	2	1	1/16		1/16	1.0		5	59		44
4	4	5/16	5/16	2/4	1	1	1/16		1/16	1.0		5	71		38
4	4	3/8	3/8	2/4	2	1	1/16		1/16	1.0		5	47		45
4	4	3/8	3/8	2/4	1	1	1/16		1/16	1.0		9	75		39
4	4	3/8	3/8	2/4	1	1	1/16		1/16	1.0		6	78		39
4	4	3/8	3/8	2/4	1	1	1/16		1/16	1.0		5	83		39
5	5	0	0	2/4	2	1	1/8		1/8	1.0		1	43		52
5	5	0	0	2/4	1	1	1/16		1/16	1.0		2	74		46
5	5	0	0	2/4	1	1	1/16		1/16	1.0		-1	77		46
5	5	0	0	2/4	1	1	1/16		1/16	1.0		1	79		46
5	5	1/16	1/16	2/4	1	1	1/16		1/16	1.0		1	67		47
5	5	1/8	1/8	2/4	2	1	1/8		1/8	1.0		1	55		53
5	5	1/8	1/8	2/4	2	1	1/8		1/8	1.0		5	59		53
5	5	1/8	1/8	2/4	1	1	1/16		1/16	1.0		2	74		48
5	5	1/8	1/8	2/4	1	1	1/16		1/16	1.0		-1	77		48
5	5	1/8	1/8	2/4	1	1	1/16		1/16	1.0		1	79		48
5	5	1/4	1/4	2/4	2	1	1/8		1/8	1.0		0	48		54
5	5	1/4	1/4	2/4	1	1	1/16		1/16	1.0		0	72		49
5	5	1/4	1/4	2/4	1	1	1/16		1/16	1.0		4	76		49
5	5	1/4	1/4	2/4	1	1	1/16		1/16	1.0		1	79		49
5	5	5/16	5/16	2/4	1	1	1/16		1/16	1.0		1	67		50
5	5	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	55		55
5	5	3/8	3/8	2/4	2	1	1/8		1/8	1.0		0	60		55
5	5	3/8	3/8	2/4	1	1	1/16		1/16	1.0		0	72		51
5	5	3/8	3/8	2/4	1	1	1/16		1/16	1.0		4	76		51
5	5	3/8	3/8	2/4	1	1	1/16		1/16	1.0		1	79		51
6	6	0	0	2/4	1	1	0	appoggiatura	1/16	1.0		-1	77		56
6	6	0	0	2/4	2	1	1/8		1/8	1.0		1	43		64
6	6	0	0	2/4	1	1	1/8		1/8	1.0		-1	89		57
6	6	1/8	1/8	2/4	2	1	1/8		1/8	1.0		1	55		65
6	6	1/8	1/8	2/4	2	1	1/8		1/8	1.0		5	59		65
6	6	1/8	1/8	2/4	1	1	1/16		1/16	1.0		4	88		58
6	6	3/16	3/16	2/4	1	1	1/16		1/16	1.0		2	86		59
6	6	1/4	1/4	2/4	2	1	1/8		1/8	1.0		0	48		66
6	6	1/4	1/4	2/4	1	1	1/16		1/16	1.0		0	84		60
6	6	5/16	5/16	2/4	1	1	1/16		1/16	1.0		1	79		61
6	6	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	55		67
6	6	3/8	3/8	2/4	2	1	1/8		1/8	1.0		0	60		67
6	6	3/8	3/8	2/4	1	1	1/16		1/16	1.0		4	76		62
6	6	7/16	7/16	2/4	1	1	1/16		1/16	1.0		0	72		63
7	7	0	0	2/4	2	1	1/8		1/8	1.0		6	42		74
7	7	0	0	2/4	1	1	1/16		1/16	1.0		7	73		68
7	7	0	0	2/4	1	1	1/16		1/16	1.0		4	76		68
7	7	0	0	2/4	1	1	1/16		1/16	1.0		6	78		68
7	7	1/16	1/16	2/4	1	1	1/16		1/16	1.0		6	66		69
7	7	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	54		75
7	7	1/8	1/8	2/4	2	1	1/8		1/8	1.0		10	58		75
7	7	1/8	1/8	2/4	1	1	1/16		1/16	1.0		7	73		70
7	7	1/8	1/8	2/4	1	1	1/16		1/16	1.0		4	76		70
7	7	1/8	1/8	2/4	1	1	1/16		1/16	1.0		6	78		70
7	7	1/4	1/4	2/4	2	1	1/8		1/8	1.0		5	47		76
7	7	1/4	1/4	2/4	1	1	1/16		1/16	1.0		5	71		71
7	7	1/4	1/4	2/4	1	1	1/16		1/16	1.0		9	75		71
7	7	1/4	1/4	2/4	1	1	1/16		1/16	1.0		6	78		71
7	7	5/16	5/16	2/4	1	1	1/16		1/16	1.0		6	66		72
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1.0		6	54		77
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1.0		5	59		77
7	7	3/8	3/8	2/4	1	1	1/16		1/16	1.0		5	71		73
7	7	3/8	3/8	2/4	1	1	1/16		1/16	1.0		9	75		73
7	7	3/8	3/8	2/4	1	1	1/16		1/16	1.0		6	78		73
8	8	0	0	2/4	1	2	0	appoggiatura	1/16	1.0	1	4	76		82
8	8	0	0	2/4	2	1	1/8		1/8	1.0		6	42		85
8	8	0	0	2/4	1	2	1/4		1/4	1.0	-1	4	76		83
8	8	0	0	2/4	1	1	1/8		1/8	1.0		4	88		78
8	8	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	54		86
8	8	1/8	1/8	2/4	2	1	1/8		1/8	1.0		10	58		86
8	8	1/8	1/8	2/4	1	1	1/16		1/16	1.0		9	87		79
8	8	3/16	3/16	2/4	1	1	1/16		1/16	1.0		7	85		80
8	8	1/4	1/4	2/4	2	1	1/8		1/8	1.0		5	47		87
8	8	1/4	1/4	2/4	2	1	1/8		1/8	1.0		6	54		87
8	8	1/4	1/4	2/4	2	1	1/8		1/8	1.0		5	59		87
8	8	1/4	1/4	2/4	1	2	1/8		1/8	1.0		9	75		84
8	8	1/4	1/4	2/4	1	1	1/8		1/8	1.0		5	83		81
