mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/8		1/8	1.0		5	47		8
1	1	0	0	2/4	2	1	1/8		1/8	1.0		5	59		8
1	1	0	0	2/4	1	2	1/2		1/2	1.0		6	66		7
1	1	0	0	2/4	1	1	1/16		1/16	1.0		9	75		0
1	1	1/16	1/16	2/4	1	1	1/16		1/16	1.0		6	78		1
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	54		9
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1.0		7	61		9
1	1	1/8	1/8	2/4	1	1	1/16		1/16	1.0		10	70		2
1	1	3/16	3/16	2/4	1	1	1/16		1/16	1.0		7	73		3
1	1	1/4	1/4	2/4	2	1	1/8		1/8	1.0		5	59		10
1	1	1/4	1/4	2/4	2	1	1/8		1/8	1.0		9	63		10
1	1	1/4	1/4	2/4	1	1	1/16		1/16	1.0		5	71		4
1	1	5/16	5/16	2/4	1	1	1/16		1/16	1.0		9	75		5
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0		6	66		6
2	2	0	0	2/4	2	1	1/8		1/8	1.0		5	47		19
2	2	0	0	2/4	2	1	1/8		1/8	1.0		5	59		19
2	2	0	0	2/4	1	2	1/2		1/2	1.0		6	66		18
2	2	0	0	2/4	1	1	1/16		1/16	1.0		9	75		11
2	2	1/16	1/16	2/4	1	1	1/16		1/16	1.0		6	78		12
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	54		20
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1.0		7	61		20
2	2	1/8	1/8	2/4	1	1	1/16		1/16	1.0		10	70		13
2	2	3/16	3/16	2/4	1	1	1/16		1/16	1.0		7	73		14
2	2	1/4	1/4	2/4	2	1	1/8		1/8	1.0		5	59		21
2	2	1/4	1/4	2/4	2	1	1/8		1/8	1.0		9	63		21
2	2	1/4	1/4	2/4	1	1	1/16		1/16	1.0		5	71		15
2	2	5/16	5/16	2/4	1	1	1/16		1/16	1.0		9	75		16
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1.0		6	66		17
3	3	0	0	2/4	2	1	1/16		1/16	1.0		4	40		28
3	3	0	0	2/4	1	1	1/16		1/16	1.0		4	76		22
3	3	0	0	2/4	1	1	1/16		1/16	1.0		8	80		22
3	3	0	0	2/4	1	1	1/16		1/16	1.0		5	83		22
3	3	1/16	1/16	2/4	2	1	1/16		1/16	1.0		4	52		29
3	3	1/16	1/16	2/4	1	1	1/16		1/16	1.0		5	71		23
3	3	1/8	1/8	2/4	2	1	1/16		1/16	1.0		4	40		30
3	3	1/8	1/8	2/4	1	1	1/16		1/16	1.0		4	76		24
3	3	1/8	1/8	2/4	1	1	1/16		1/16	1.0		8	80		24
3	3	1/8	1/8	2/4	1	1	1/16		1/16	1.0		5	83		24
3	3	1/4	1/4	2/4	2	1	1/16		1/16	1.0		4	40		31
3	3	1/4	1/4	2/4	1	1	1/16		1/16	1.0		4	76		25
3	3	1/4	1/4	2/4	1	1	1/16		1/16	1.0		8	80		25
3	3	1/4	1/4	2/4	1	1	1/16		1/16	1.0		5	83		25
3	3	5/16	5/16	2/4	2	1	1/16		1/16	1.0		4	52		32
3	3	5/16	5/16	2/4	1	1	1/16		1/16	1.0		5	71		26
3	3	3/8	3/8	2/4	2	1	1/16		1/16	1.0		4	40		33
3	3	3/8	3/8	2/4	1	1	1/16		1/16	1.0		4	76		27
3	3	3/8	3/8	2/4	1	1	1/16		1/16	1.0		8	80		27
3	3	3/8	3/8	2/4	1	1	1/16		1/16	1.0		5	83		27
4	4	0	0	2/4	2	1	1/16		1/16	1.0		1	43		40
4	4	0	0	2/4	1	1	1/16		1/16	1.0		2	74		34
4	4	0	0	2/4	1	1	1/16		1/16	1.0		-1	77		34
4	4	0	0	2/4	1	1	1/16		1/16	1.0		5	83		34
4	4	1/16	1/16	2/4	2	1	1/16		1/16	1.0		1	55		41
4	4	1/16	1/16	2/4	1	1	1/16		1/16	1.0		5	71		35
4	4	1/8	1/8	2/4	2	1	1/16		1/16	1.0		1	43		42
4	4	1/8	1/8	2/4	1	1	1/16		1/16	1.0		2	74		36
4	4	1/8	1/8	2/4	1	1	1/16		1/16	1.0		-1	77		36
