mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		5	47		2
1	1	0	0	2/4	2	1	1/4	1/4	1.0		6	54		2
1	1	0	0	2/4	2	1	1/4	1/4	1.0		5	59		2
1	1	0	0	2/4	1	1	1/4	1/4	1.0		2	62		0
1	1	0	0	2/4	1	1	1/4	1/4	1.0		6	66		0
1	1	0	0	2/4	1	1	1/4	1/4	1.0		2	74		0
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		3
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	62		1
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	66		1
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	74		1
2	2	0	0	2/4	2	1	1/2	1/2	1.0		5	47		8
2	2	0	0	2/4	2	1	1/2	1/2	1.0		6	54		8
2	2	0	0	2/4	2	1	1/2	1/2	1.0		5	59		8
2	2	0	0	2/4	1	2	1/2	1/2	1.0		2	62		7
2	2	0	0	2/4	1	2	1/2	1/2	1.0		6	66		7
2	2	0	0	2/4	1	1	1/4	1/4	1.0		2	74		4
2	2	1/4	1/4	2/4	1	1	1/8	1/8	1.0		7	73		5
2	2	3/8	3/8	2/4	1	1	1/8	1/8	1.0		5	71		6
3	3	0	0	2/4	2	1	1/4	1/4	1.0		5	47		13
3	3	0	0	2/4	2	1	1/4	1/4	1.0		6	54		13
3	3	0	0	2/4	2	1	1/4	1/4	1.0		7	61		13
3	3	0	0	2/4	1	2	1/4	1/4	1.0		4	64		11
3	3	0	0	2/4	1	1	1/4	1/4	1.0		6	66		9
3	3	0	0	2/4	1	1	1/4	1/4	1.0		3	69		9
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47		14
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		14
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	61		14
3	3	1/4	1/4	2/4	1	2	1/4	1/4	1.0		4	64		12
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	66		10
3	3	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	69		10
4	4	0	0	2/4	2	1	1/2	1/2	1.0		5	47		19
4	4	0	0	2/4	2	1	1/2	1/2	1.0		6	54		19
4	4	0	0	2/4	2	1	1/2	1/2	1.0		7	61		19
4	4	0	0	2/4	1	2	1/2	1/2	1.0		4	64		18
4	4	0	0	2/4	1	2	1/2	1/2	1.0		6	66		18
4	4	0	0	2/4	1	1	1/4	1/4	1.0		10	70		15
