mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
4	4	1/4	1/4	2/4	1	1	1/8	1/8	1.0		8	68		16
4	4	3/8	3/8	2/4	1	1	1/8	1/8	1.0		10	70		17
5	5	0	0	2/4	2	1	1/4	1/4	1.0		5	47		24
5	5	0	0	2/4	2	1	1/4	1/4	1.0		2	50		24
5	5	0	0	2/4	2	1	1/4	1/4	1.0		6	54		24
5	5	0	0	2/4	2	1	1/4	1/4	1.0		5	59		24
5	5	0	0	2/4	1	1	1/8	1/8	1.0		5	71		20
5	5	1/8	1/8	2/4	1	1	1/8	1/8	1.0		10	70		21
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47		25
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		2	50		25
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		25
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		25
5	5	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		22
5	5	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	73		23
6	6	0	0	2/4	2	1	1/2	1/2	1.0		5	47		30
6	6	0	0	2/4	2	1	1/2	1/2	1.0		2	50		30
6	6	0	0	2/4	2	1	1/2	1/2	1.0		6	54		30
6	6	0	0	2/4	2	1	1/2	1/2	1.0		5	59		30
6	6	0	0	2/4	1	1	1/8	1/8	1.0		2	74		26
6	6	1/8	1/8	2/4	1	1	1/8	1/8	1.0		7	73		27
6	6	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74		28
6	6	3/8	3/8	2/4	1	1	1/8	1/8	1.0		4	76		29
7	7	0	0	2/4	2	1	1/4	1/4	1.0		5	47	1	35
7	7	0	0	2/4	2	1	1/4	1/4	1.0		4	52	1	35
7	7	0	0	2/4	2	1	1/4	1/4	1.0		6	54	1	35
7	7	0	0	2/4	2	1	1/4	1/4	1.0		10	58	1	35
7	7	0	0	2/4	1	1	1/8	1/8	1.0		6	78	1	31
7	7	1/8	1/8	2/4	1	1	1/8	1/8	1.0		1	79	1	32
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47	1	36
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	52	1	36
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54	1	36
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58	1	36
7	7	1/4	1/4	2/4	1	1	1/8	1/8	1.0		6	78	1	33
7	7	3/8	3/8	2/4	1	1	1/8	1/8	1.0		1	79	1	34
8	8	0	0	2/4	2	1	1/2	1/2	1.0		5	47	1	41
8	8	0	0	2/4	2	1	1/2	1/2	1.0		4	52	1	41
8	8	0	0	2/4	2	1	1/2	1/2	1.0		6	54	1	41
8	8	0	0	2/4	2	1	1/2	1/2	1.0		10	58	1	41
8	8	0	0	2/4	1	1	1/8	1/8	1.0		6	78	1	37
8	8	1/8	1/8	2/4	1	1	1/8	1/8	1.0		4	76	1	38
8	8	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74	1	39
8	8	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	73	1	40
9	8	0	0	2/4	2	1	1/4	1/4	1.0		5	47	2	46
9	8	0	0	2/4	2	1	1/4	1/4	1.0		4	52	2	46
9	8	0	0	2/4	2	1	1/4	1/4	1.0		6	54	2	46
9	8	0	0	2/4	2	1	1/4	1/4	1.0		10	58	2	46
9	8	0	0	2/4	1	1	1/8	1/8	1.0		6	78	2	42
9	8	1/8	1/8	2/4	1	1	1/8	1/8	1.0		4	76	2	43
9	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	47	2	47
9	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	52	2	47
9	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54	2	47
9	8	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58	2	47
9	8	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74	2	44
9	8	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	73	2	45
10	8	0	0	2/4	2	1	1/4	1/4	1.0		5	47	2	49
10	8	0	0	2/4	2	1	1/4	1/4	1.0		2	50	2	49
10	8	0	0	2/4	2	1	1/4	1/4	1.0		6	54	2	49
10	8	0	0	2/4	2	1	1/4	1/4	1.0		5	59	2	49
10	8	0	0	2/4	1	1	1/4	1/4	1.0		5	71	2	48
11	9	0	0	2/4	2	1	1/4	1/4	1.0		2	38		52
11	9	0	0	2/4	2	1	1/4	1/4	1.0		2	50		52
11	9	0	0	2/4	1	1	1/4	1/4	1.0		2	74		50
11	9	0	0	2/4	1	1	1/4	1/4	1.0		6	78		50
11	9	0	0	2/4	1	1	1/4	1/4	1.0		3	81		50
11	9	0	0	2/4	1	1	1/4	1/4	1.0		2	86		50
11	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		2	38		53
11	9	1/4	1/4	2/4	2	1	1/4	1/4	1.0		2	50		53
11	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	74		51
11	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	78		51
11	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	81		51
11	9	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	86		51
12	10	0	0	2/4	2	1	1/4	1/4	1.0		2	38		57
12	10	0	0	2/4	2	1	1/4	1/4	1.0		2	50		57
12	10	0	0	2/4	1	1	1/4	1/4	1.0		2	74		54
12	10	0	0	2/4	1	1	1/4	1/4	1.0		6	78		54
12	10	0	0	2/4	1	1	1/4	1/4	1.0		3	81		54
12	10	0	0	2/4	1	1	1/4	1/4	1.0		2	86		54
12	10	1/4	1/4	2/4	2	1	1/8	1/8	1.0		1	43		58
12	10	1/4	1/4	2/4	1	1	1/8	1/8	1.0		3	81		55
12	10	1/4	1/4	2/4	1	1	1/8	1/8	1.0		7	85		55
12	10	3/8	3/8	2/4	2	1	1/8	1/8	1.0		5	47		59
12	10	3/8	3/8	2/4	1	1	1/8	1/8	1.0		1	79		56
12	10	3/8	3/8	2/4	1	1	1/8	1/8	1.0		5	83		56
13	11	0	0	2/4	2	1	1/4	1/4	1.0		2	38		62
13	11	0	0	2/4	2	1	1/4	1/4	1.0		2	50		62
13	11	0	0	2/4	1	1	1/4	1/4	1.0		2	74		60
13	11	0	0	2/4	1	1	1/4	1/4	1.0		6	78		60
13	11	0	0	2/4	1	1	1/4	1/4	1.0		3	81		60
13	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		2	38		63
13	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		2	50		63
13	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		2	74		61
13	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		6	78		61
13	11	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	81		61
14	12	0	0	2/4	2	1	1/4	1/4	1.0		2	38		67
14	12	0	0	2/4	2	1	1/4	1/4	1.0		2	50		67
14	12	0	0	2/4	1	1	1/4	1/4	1.0		2	74		64
14	12	0	0	2/4	1	1	1/4	1/4	1.0		6	78		64
14	12	0	0	2/4	1	1	1/4	1/4	1.0		3	81		64
14	12	1/4	1/4	2/4	2	1	1/8	1/8	1.0		2	50		68
14	12	1/4	1/4	2/4	1	1	1/8	1/8	1.0		4	76		65
14	12	1/4	1/4	2/4	1	1	1/8	1/8	1.0		1	79		65
14	12	3/8	3/8	2/4	2	1	1/8	1/8	1.0		6	54		69
14	12	3/8	3/8	2/4	1	1	1/8	1/8	1.0		2	74		66
14	12	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	78		66
15	13	0	0	2/4	2	1	1/4	1/4	1.0		3	45		72
15	13	0	0	2/4	2	1	1/4	1/4	1.0		3	57		72
15	13	0	0	2/4	1	1	1/4	1/4	1.0		3	69		70
15	13	0	0	2/4	1	1	1/4	1/4	1.0		7	73		70
15	13	0	0	2/4	1	1	1/4	1/4	1.0		4	76		70
15	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	45		73
15	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		73
15	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	69		71
15	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		7	73		71
15	13	1/4	1/4	2/4	1	1	1/4	1/4	1.0		4	76		71
16	14	0	0	2/4	2	1	1/2	1/2	1.0		3	45		78
16	14	0	0	2/4	2	1	1/2	1/2	1.0		3	57		78
16	14	0	0	2/4	1	2	1/2	1/2	1.0		3	69		77
16	14	0	0	2/4	1	1	1/4	1/4	1.0		7	73		74
16	14	0	0	2/4	1	1	1/4	1/4	1.0		4	76		74
16	14	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		75
16	14	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74		75
16	14	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	73		76
16	14	3/8	3/8	2/4	1	1	1/8	1/8	1.0		4	76		76
17	15	0	0	2/4	2	1	1/4	1/4	1.0		2	50		81
17	15	0	0	2/4	2	1	1/4	1/4	1.0		2	62		81
17	15	0	0	2/4	1	1	1/4	1/4	1.0		3	69		79
17	15	0	0	2/4	1	1	1/4	1/4	1.0		2	74		79
17	15	0	0	2/4	1	1	1/4	1/4	1.0		6	78		79
17	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	45		82
17	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		3	57		82
17	15	1/4	1/4	2/4	1	1	1/4	1/4	1.0		3	69		80
17	15	1/4	1/4	2/4	1	1	1/4	1/4	1.0		7	73		80
17	15	1/4	1/4	2/4	1	1	1/4	1/4	1.0		4	76		80
18	16	0	0	2/4	2	1	1/4	1/4	1.0		2	50		84
18	16	0	0	2/4	2	1	1/4	1/4	1.0		2	62		84
18	16	0	0	2/4	1	1	1/4	1/4	1.0		6	66		83
18	16	0	0	2/4	1	1	1/4	1/4	1.0		3	69		83
18	16	0	0	2/4	1	1	1/4	1/4	1.0		2	74		83
