mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
7	7	0	0	2/4	2	1	1/4	1/4	1.0		4	52		34
7	7	0	0	2/4	1	1	1/8	1/8	1.0		4	64		30
7	7	1/8	1/8	2/4	1	1	1/8	1/8	1.0		8	68		31
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	42		35
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	49		35
7	7	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	52		35
7	7	1/4	1/4	2/4	1	1	1/8	1/8	1.0		10	58		32
7	7	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	61		33
8	8	0	0	2/4	2	1	1/4	1/4	1.0		5	47		37
8	8	0	0	2/4	2	1	1/4	1/4	1.0		9	51		37
8	8	0	0	2/4	1	1	1/4	1/4	1.0		5	59		36
9	9	0	0	2/4	2	1	1/2	1/2	1.0		4	52		42
9	9	0	0	2/4	2	1	1/2	1/2	1.0		8	56		42
9	9	0	0	2/4	2	1	1/2	1/2	1.0		4	64		42
9	9	0	0	2/4	1	2	1/2	1/2	1.0		8	80		41
9	9	0	0	2/4	1	1	1/4	1/4	1.0		5	83		38
9	9	1/4	1/4	2/4	1	1	1/8	1/8	1.0		7	85		39
9	9	3/8	3/8	2/4	1	1	1/8	1/8	1.0		5	83		40
10	10	0	0	2/4	2	1	1/2	1/2	1.0		6	54		47
10	10	0	0	2/4	2	1	1/2	1/2	1.0		10	58		47
10	10	0	0	2/4	2	1	1/2	1/2	1.0		4	64		47
10	10	0	0	2/4	1	2	1/2	1/2	1.0		6	78		46
10	10	0	0	2/4	1	1	1/4	1/4	1.0		10	82		43
10	10	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	83		44
10	10	3/8	3/8	2/4	1	1	1/8	1/8	1.0		10	82		45
11	11	0	0	2/4	2	1	1/4	1/4	1.0		8	56		52
11	11	0	0	2/4	2	1	1/4	1/4	1.0		5	59		52
11	11	0	0	2/4	2	1	1/4	1/4	1.0		4	64		52
11	11	0	0	2/4	1	2	1/2	1/2	1.0		4	76		51
11	11	0	0	2/4	1	1	1/4	1/4	1.0		8	80		48
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		53
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	61		53
11	11	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		53
11	11	1/4	1/4	2/4	1	1	1/8	1/8	1.0		10	82		49
11	11	3/8	3/8	2/4	1	1	1/8	1/8	1.0		8	80		50
12	12	0	0	2/4	2	1	1/2	1/2	1.0		5	59		55
12	12	0	0	2/4	2	1	1/2	1/2	1.0		9	63		55
12	12	0	0	2/4	1	1	1/2	1/2	1.0		9	75		54
12	12	0	0	2/4	1	1	1/2	1/2	1.0		6	78		54
13	13	0	0	2/4	2	1	1/4	1/4	1.0		6	42		60
13	13	0	0	2/4	1	1	1/8	1/8	1.0		4	76		56
13	13	1/8	1/8	2/4	1	1	1/8	1/8	1.0		8	92		57
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		61
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		61
13	13	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		61
13	13	1/4	1/4	2/4	1	1	1/8	1/8	1.0		6	90		58
13	13	3/8	3/8	2/4	1	1	1/8	1/8	1.0		4	88		59
14	14	0	0	2/4	2	1	1/4	1/4	1.0		5	47		66
14	14	0	0	2/4	1	1	1/8	1/8	1.0		9	87		62
14	14	1/8	1/8	2/4	1	1	1/8	1/8	1.0		6	90		63
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		67
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		67
14	14	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	63		67
14	14	1/4	1/4	2/4	1	1	1/8	1/8	1.0		4	88		64
14	14	3/8	3/8	2/4	1	1	1/8	1/8	1.0		9	87		65
15	15	0	0	2/4	2	1	1/4	1/4	1.0		6	42		72
15	15	0	0	2/4	1	1	1/8	1/8	1.0		7	85		68
15	15	1/8	1/8	2/4	1	1	1/8	1/8	1.0		4	88		69
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		73
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		73
15	15	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		73
15	15	1/4	1/4	2/4	1	1	1/8	1/8	1.0		9	87		70
15	15	3/8	3/8	2/4	1	1	1/8	1/8	1.0		7	85		71
16	16	0	0	2/4	2	1	1/4	1/4	1.0		5	59		75
16	16	0	0	2/4	2	1	1/4	1/4	1.0		9	63		75
16	16	0	0	2/4	1	1	1/4	1/4	1.0		5	83		74
