mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4	1/4	1.0		5	47		2
1	1	0	0	2/4	1	1	1/4	1/4	1.0		5	71		0
1	1	0	0	2/4	1	1	1/4	1/4	1.0		5	83		0
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		3
1	1	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	63		3
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		9	75		1
1	1	1/4	1/4	2/4	1	1	1/4	1/4	1.0		9	87		1
2	2	0	0	2/4	2	1	1/4	1/4	1.0		5	47		5
2	2	0	0	2/4	1	1	1/2	1/2	1.0		6	78		4
2	2	0	0	2/4	1	1	1/2	1/2	1.0		6	90		4
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		6
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		6
2	2	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	63		6
3	3	0	0	2/4	2	1	1/4	1/4	1.0		6	42		11
3	3	0	0	2/4	1	1	1/8	1/8	1.0		4	88		7
3	3	1/8	1/8	2/4	1	1	1/8	1/8	1.0		7	85		8
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		12
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		10	58		12
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		7	61		12
3	3	1/4	1/4	2/4	2	1	1/4	1/4	1.0		4	64		12
3	3	1/4	1/4	2/4	1	1	1/8	1/8	1.0		10	82		9
3	3	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	78		10
4	4	0	0	2/4	2	1	1/4	1/4	1.0		5	47		17
4	4	0	0	2/4	1	1	1/8	1/8	1.0		5	83		13
4	4	1/8	1/8	2/4	1	1	1/8	1/8	1.0		9	87		14
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		6	54		18
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		5	59		18
4	4	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	63		18
4	4	1/4	1/4	2/4	1	1	1/8	1/8	1.0		6	78		15
4	4	3/8	3/8	2/4	1	1	1/8	1/8	1.0		5	83		16
5	5	0	0	2/4	2	1	1/4	1/4	1.0		5	35		23
5	5	0	0	2/4	2	1	1/4	1/4	1.0		5	47		23
5	5	0	0	2/4	1	1	1/8	1/8	1.0		9	75		19
5	5	1/8	1/8	2/4	1	1	1/8	1/8	1.0		6	78		20
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	39		24
5	5	1/4	1/4	2/4	2	1	1/4	1/4	1.0		9	51		24
5	5	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		21
5	5	3/8	3/8	2/4	1	1	1/8	1/8	1.0		9	75		22
6	6	0	0	2/4	2	1	1/2	1/2	1.0		6	42		29
6	6	0	0	2/4	2	1	1/2	1/2	1.0		6	54		29
6	6	0	0	2/4	1	1	1/8	1/8	1.0		6	66		25
6	6	1/8	1/8	2/4	1	1	1/8	1/8	1.0		5	71		26
6	6	1/4	1/4	2/4	1	1	1/8	1/8	1.0		9	63		27
6	6	3/8	3/8	2/4	1	1	1/8	1/8	1.0		6	66		28
7	7	0	0	2/4	2	1	1/4	1/4	1.0		6	42		34
7	7	0	0	2/4	2	1	1/4	1/4	1.0		7	49		34
