mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
15	15	0	0	2/4	2	1	1/4		1/4	1.0		0	60		79
15	15	0	0	2/4	1	2	1/8		1/8	1.0		-2	70		75
15	15	0	0	2/4	1	1	1/4		1/4	1.0		-3	75		72
15	15	1/8	1/8	2/4	1	2	1/8		1/8	1.0		-4	68		76
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		80
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-2	58		80
15	15	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		80
15	15	1/4	1/4	2/4	1	2	1/8		1/8	1.0		1	67		77
15	15	3/8	3/8	2/4	1	2	1/8		1/8	1.0		-3	75		78
16	16	0	0	2/4	2	1	1/4		1/4	1.0		-4	56		82
16	16	0	0	2/4	2	1	1/4		1/4	1.0		0	60		82
16	16	0	0	2/4	1	1	1/4		1/4	1.0		-4	68		81
