mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/4		1/4	1.0		-4	44		3
1	1	1/8	1/8	2/4	1	1	1/8		1/8	1.0		0	60		0
1	1	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		4
1	1	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-4	56		4
1	1	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		4
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-3	63		1
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0		-4	68		2
2	2	0	0	2/4	2	1	1/4		1/4	1.0		-3	39		8
2	2	0	0	2/4	1	2	1/4		1/4	1.0		0	72		6
2	2	0	0	2/4	1	1	1/2		1/2	1.0		-3	75		5
2	2	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		9
2	2	1/4	1/4	2/4	2	1	1/4		1/4	1.0		1	55		9
2	2	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		9
2	2	1/4	1/4	2/4	1	2	1/8		1/8	1.0		-2	70		7
3	3	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		-2	70		11
3	3	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		0	72		12
3	3	0	0	2/4	2	1	1/4		1/4	1.0		-4	44		15
3	3	0	0	2/4	1	2	1/4		1/4	1.0		-2	70		13
3	3	0	0	2/4	1	1	1/2		1/2	1.0		-3	75		10
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		16
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-4	56		16
3	3	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		16
3	3	1/4	1/4	2/4	1	2	1/8		1/8	1.0		-4	68		14
4	4	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		-4	68		18
4	4	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		-2	70		19
4	4	0	0	2/4	2	1	1/4		1/4	1.0		-3	39		22
4	4	0	0	2/4	1	2	1/4		1/4	1.0		-4	68		20
4	4	0	0	2/4	1	1	1/2		1/2	1.0		-3	75		17
4	4	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		23
4	4	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-2	58		23
4	4	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		23
4	4	1/4	1/4	2/4	1	2	1/8		1/8	1.0		1	67		21
5	5	0	0	2/4	2	1	1/4		1/4	1.0		-4	44		27
5	5	1/8	1/8	2/4	1	1	1/8		1/8	1.0		0	72		24
5	5	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		28
5	5	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-4	56		28
5	5	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		28
5	5	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-3	75		25
5	5	3/8	3/8	2/4	1	1	1/8		1/8	1.0		-4	80		26
6	6	0	0	2/4	2	1	1/4		1/4	1.0		-3	39		32
6	6	0	0	2/4	1	2	1/4		1/4	1.0		0	84		30
6	6	0	0	2/4	1	1	1/2		1/2	1.0		-3	87		29
6	6	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		33
6	6	1/4	1/4	2/4	2	1	1/4		1/4	1.0		1	55		33
6	6	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		33
6	6	1/4	1/4	2/4	1	2	1/8		1/8	1.0		-2	82		31
7	7	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		-2	82		35
7	7	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		0	84		36
7	7	0	0	2/4	2	1	1/4		1/4	1.0		-4	56		41
7	7	0	0	2/4	2	1	1/4		1/4	1.0		0	60		41
7	7	0	0	2/4	1	2	1/8		1/8	1.0		-2	82		37
7	7	0	0	2/4	1	1	1/4		1/4	1.0		-3	87		34
7	7	1/8	1/8	2/4	1	2	1/8		1/8	1.0		-4	80		38
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		42
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-2	58		42
7	7	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		42
7	7	1/4	1/4	2/4	1	2	1/8		1/8	1.0		1	79		39
7	7	3/8	3/8	2/4	1	2	1/8		1/8	1.0		-3	87		40
8	8	0	0	2/4	2	1	1/4		1/4	1.0		-4	56		44
8	8	0	0	2/4	2	1	1/4		1/4	1.0		0	60		44
8	8	0	0	2/4	1	1	1/4		1/4	1.0		-4	80		43
9	9	0	0	2/4	2	1	1/4		1/4	1.0		-3	39		48
9	9	0	0	2/4	2	1	1/4		1/4	1.0		-3	51		48
9	9	1/8	1/8	2/4	1	1	1/8		1/8	1.0		1	67		45
9	9	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-2	70		46
9	9	3/8	3/8	2/4	1	1	1/8		1/8	1.0		-5	73		47
10	10	0	0	2/4	1	1	1/4		1/4	1.0		-5	73		49
10	10	0	0	2/4	1	1	1/4		1/4	1.0		-1	77		49
10	10	1/4	1/4	2/4	2	1	1/8		1/8	1.0		3	33		51
10	10	1/4	1/4	2/4	1	1	1/4		1/4	1.0		0	72		50
10	10	1/4	1/4	2/4	1	1	1/4		1/4	1.0		-3	75		50
10	10	3/8	3/8	2/4	2	1	1/8		1/8	1.0		3	45		52
11	11	0	0	2/4	2	1	1/8		1/8	1.0		-2	34		55
11	11	0	0	2/4	1	1	1/4		1/4	1.0		-2	70		53
11	11	0	0	2/4	1	1	1/4		1/4	1.0		-5	73		53
11	11	1/8	1/8	2/4	2	1	1/8		1/8	1.0		-2	46		56
11	11	1/4	1/4	2/4	2	1	1/8		1/8	1.0		-5	37		57
11	11	1/4	1/4	2/4	1	1	1/4		1/4	1.0		-5	61		54
11	11	1/4	1/4	2/4	1	1	1/4		1/4	1.0		-1	65		54
11	11	1/4	1/4	2/4	1	1	1/4		1/4	1.0		-2	70		54
11	11	3/8	3/8	2/4	2	1	1/8		1/8	1.0		-5	49		58
12	12	0	0	2/4	2	1	1/2		1/2	1.0		-3	39		61
12	12	0	0	2/4	2	1	1/2		1/2	1.0		-3	51		61
12	12	0	0	2/4	1	1	1/4		1/4	1.0		0	60		59
12	12	0	0	2/4	1	1	1/4		1/4	1.0		-3	63		59
12	12	0	0	2/4	1	1	1/4		1/4	1.0		-4	68		59
12	12	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-2	58		60
12	12	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-3	63		60
12	12	1/4	1/4	2/4	1	1	1/8		1/8	1.0		1	67		60
13	13	0	0	2/4	2	1	1/4		1/4	1.0		-4	44		65
13	13	1/8	1/8	2/4	1	1	1/8		1/8	1.0		0	60		62
13	13	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		66
13	13	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-4	56		66
13	13	1/4	1/4	2/4	2	1	1/4		1/4	1.0		0	60		66
13	13	1/4	1/4	2/4	1	1	1/8		1/8	1.0		-3	63		63
13	13	3/8	3/8	2/4	1	1	1/8		1/8	1.0		-4	68		64
14	14	0	0	2/4	2	1	1/4		1/4	1.0		-3	39		70
14	14	0	0	2/4	1	2	1/4		1/4	1.0		0	72		68
14	14	0	0	2/4	1	1	1/2		1/2	1.0		-3	75		67
14	14	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-3	51		71
14	14	1/4	1/4	2/4	2	1	1/4		1/4	1.0		1	55		71
14	14	1/4	1/4	2/4	2	1	1/4		1/4	1.0		-5	61		71
14	14	1/4	1/4	2/4	1	2	1/8		1/8	1.0		-2	70		69
15	15	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		-2	70		73
15	15	0	0	2/4	1	2	0	appoggiatura	1/16	1.0		0	72		74
15	15	0	0	2/4	2	1	1/4		1/4	1.0		-4	56		79
