mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/8	1/8	1.0		5	47		10
1	1	0	0	2/4	1	2	1/16	1/16	1.0		2	74		4
1	1	0	0	2/4	1	1	1/8	1/8	1.0		6	78		0
1	1	1/16	1/16	2/4	1	2	1/16	1/16	1.0		7	73		5
1	1	1/8	1/8	2/4	2	1	1/8	1/8	1.0		6	54		11
1	1	1/8	1/8	2/4	2	1	1/8	1/8	1.0		5	59		11
1	1	1/8	1/8	2/4	2	1	1/8	1/8	1.0		2	62		11
1	1	1/8	1/8	2/4	1	2	1/16	1/16	1.0		5	71		6
1	1	1/8	1/8	2/4	1	1	1/8	1/8	1.0		2	74		1
1	1	3/16	3/16	2/4	1	2	1/16	1/16	1.0		10	70		7
1	1	1/4	1/4	2/4	2	1	1/8	1/8	1.0		5	47		12
1	1	1/4	1/4	2/4	1	2	1/8	1/8	1.0		5	71		8
1	1	1/4	1/4	2/4	1	1	1/8	1/8	1.0		2	74		2
1	1	3/8	3/8	2/4	2	1	1/8	1/8	1.0		6	54		13
1	1	3/8	3/8	2/4	2	1	1/8	1/8	1.0		5	59		13
1	1	3/8	3/8	2/4	2	1	1/8	1/8	1.0		2	62		13
1	1	3/8	3/8	2/4	1	2	1/8	1/8	1.0		5	71		9
1	1	3/8	3/8	2/4	1	1	1/8	1/8	1.0		2	74		3
2	2	0	0	2/4	2	1	1/8	1/8	1.0		5	47		24
2	2	0	0	2/4	1	2	1/16	1/16	1.0		10	70		18
2	2	0	0	2/4	1	1	1/8	1/8	1.0		7	73		14
2	2	1/16	1/16	2/4	1	2	1/16	1/16	1.0		1	67		19
2	2	1/8	1/8	2/4	2	1	1/8	1/8	1.0		6	54		25
2	2	1/8	1/8	2/4	2	1	1/8	1/8	1.0		10	58		25
2	2	1/8	1/8	2/4	2	1	1/8	1/8	1.0		7	61		25
2	2	1/8	1/8	2/4	1	2	1/16	1/16	1.0		6	66		20
2	2	1/8	1/8	2/4	1	1	1/8	1/8	1.0		10	70		15
2	2	3/16	3/16	2/4	1	2	1/16	1/16	1.0		4	64		21
2	2	1/4	1/4	2/4	2	1	1/8	1/8	1.0		5	47		26
2	2	1/4	1/4	2/4	1	2	1/8	1/8	1.0		2	62		22
2	2	1/4	1/4	2/4	1	1	1/8	1/8	1.0		5	71		16
2	2	3/8	3/8	2/4	2	1	1/8	1/8	1.0		6	54		27
